Title,Description,URL
福原遥、ノースリドレス姿がかわいすぎると話題！「女神」「ドレッシーで美しい」「最高の癒し」の声 - スポーツ報知,女優の福原遥が、２２日までに自身のＳＮＳを更新。オフショットを公開した。,https://hochi.news/articles/20231222-OHT1T51062.html
ナイツ塙宣之（45） 結成2年の若手芸人への“M－1ドッキリ”が大炎上→動画で謝罪(2023年12月22日) - ANNnewsCH,漫才協会の会長を務め「M－1グランプリ2023」の審査員を務めるお笑いコンビ「ナイツ」の塙宣之さんが21日、自身が若手芸人に仕掛けたドッキリについて謝罪しました。　塙さんはYouTubeの企画で、2021年結成のお笑いコンビ「ミーナ」に対して「M－1グランプリの決勝戦に今年、漫才協会の枠が1枠増えて出場できる」と...,https://www.youtube.com/watch?v=cCxAnKwHWLo
Matt、スキンケアに１時間半 メーク落とさず寝落ちし「パパが僕の顔見て気絶」の過去 - ニッカンスポーツ,タレントMatt（29）が、21日放送のフジテレビ系「トークィーンズ」（木曜午後11時）に出演。美容へのこだわりを語った。毎日のスキンケアに1時間半かけている… - 日刊スポーツ新聞社のニュースサイト、ニッカンスポーツ・コム（nikkansports.com）。,https://www.nikkansports.com/entertainment/news/202312220000795.html
PINK SAPPHIREのギタリストTAKAが56歳で死去 - 音楽ナタリー,PINK SAPPHIREのギタリストTAKAが12月12日に亡くなったことがわかった。56歳だった。,https://natalie.mu/music/news/554358
誤った内容を放送 番組が謝罪 - au Webポータル,au Webポータル,https://article.auone.jp/detail/1/5/9/266_9_r_20231222_1703225832749121
藤井八冠「王座」就位式 “よりよい将棋指せるよう” 意気込み - nhk.or.jp,将棋の藤井聡太八冠（21）が、ことし10月に獲得した8つ目のタイトル「王座」の就位式に出席し「課題の残るシリーズだったが…,https://www3.nhk.or.jp/news/html/20231222/k10014296281000.html
【ポケモンSV】YOASOBI『Biri-Biri』×武田綾乃『きみと雨上がりを』記念対談。『ポケモン S・V』4周目のAyaseさん、武田先生によって描かれた解像度の高いネモについてなど、深い話をお届け - ファミ通.com,楽曲『Biri-Biri』および短編小説『きみと雨上がりを』を手掛けた、YOASOBIと武田綾乃先生へのインタビューを実施。楽曲と小説を制作するにあたっての『ポケモンS・V』への想いなどを訊いた。,https://www.famitsu.com/news/202312/22328364.html
田中れいな、太もも大胆露出の“超ミニ丈”コーデ 編み上げソックスからまぶしいナマ脚 - ORICON NEWS,タレントの 田中れいな （34）が21日、自身のインスタグラムを更新。太ももを大胆に露出した“超ミニ丈”美脚ショットを公開した。  　田中は「寒い寒い寒い 写真のために上着ぬいで撮るのも限界きました」「＃れーなこーで」と、私服姿の写真をアップ。大ぶりのタートルネックニットに超ミニ丈ボトムスを合わせたコーディネートで、編み上げデザインのレッグウォーマーとの間から美太ももを惜しげもなく披露している。,https://www.oricon.co.jp/news/2307861/full/
三宅健の“妹”、久々の伊東家集結ショットが感動的 “若すぎる兄”に渋い顔「私姉に見えたと思うわ」「奇跡の40代」（1/2 ページ） - ねとらぼ - ねとらぼ,"",https://nlab.itmedia.co.jp/nl/articles/2312/22/news134.html
ORICON NEWS：［紅白］水森かおり、今年は「演歌×ドミノ」で魅せる 「けん玉」に続き新たな奇跡誕生か？ - 毎日新聞,"大みそか恒例の『第74回NHK紅白歌合戦』（後7：20～11：45　総合ほか）の見どころが22日、発表された。

【一覧】『第74回NHK紅白歌合戦』出場歌手　これまでの出場回数も

　毎年、個性的なステージを届けてきた歌手の水森かおりは、宮崎県のご当地ソング｢日向岬｣のスペシャルバージョン「日",https://mainichi.jp/articles/20231222/orc/00m/200/104000c
73歳・テリー伊藤「買っちゃった！」カスタム費1000万円“激シブ”高級外車披露「素晴らしい一台」 - スポニチアネックス Sponichi Annex,埼玉の中古車販売店で一目惚れしたイギリス・ランドローバーが生産している高級4WD車「レンジローバー」を、2カ月悩んで「ついに購入しちゃいました」というテリー。こ… - スポーツニッポン新聞社の公式サイト（www.sponichi.co.jp）。,https://www.sponichi.co.jp/entertainment/news/2023/12/22/kiji/20231222s00041000348000c.html
「大泉洋リサイタル」スタート！新曲「あの空に立つ塔のように」も披露（舞台写真あり） - ステージナタリー,「TEAM NACS Solo Project 5D2 -FIVE DIMENSIONS II-『生誕50周年記念!! 大泉洋リサイタル』」が、昨日12月21日に宮城・仙台サンプラザホールで開幕した。,https://natalie.mu/stage/news/554311
Amazon「PlayStation年末年始セール」開催中。「PULSE 3D ワイヤレスヘッドセット」「Spider-Man: Miles Morales」などがラインナップ - 4Gamer.net,https://www.4gamer.net/games/999/G999903/20231222008/SS/001.jpg,https://www.4gamer.net/games/999/G999903/20231222008/
モグライダーがトップバッター「爆笑問題の検索ちゃん」ネタ祭り今夜 ハライチも出演 - お笑いナタリー,爆笑問題と小池栄子がMCを務める「爆笑問題の検索ちゃん 芸人ちゃんネタ祭り 実力派芸人大集結スペシャル」（テレビ朝日系）が本日12月22日（金）に放送されるのは既報の通り。年末恒例となっているネタ祭りについて今年の放送内容が明らかとなり、記事初出時よりハライチとモグライダーの出演が追加された。,https://natalie.mu/owarai/news/554306
『ペルソナ5』シリーズ1000万本突破記念！韓国アカペラグループ「MayTree」とのコラボ映像を公開！ - ペルソナチャンネル,"こんにちは、ペルソナ広報です。このたびの『ペルソナ5』シリーズ全世界1,000万本セールス突破を記念し、アトラス『ペルソナ5』と韓国アカペラグループ「Maytree」のコラボ映像を公開いたしました！『...",https://p-ch.jp/news/12946/
『M-1』敗者復活→優勝“8年周期説”なるか ルール改定で大注目＆激戦必至【各ブロック一覧】 - ORICON NEWS,24日に敗者復活戦・決勝戦が行われる漫才日本一決定戦『M-1グランプリ2023』（ABCテレビ・テレビ朝日系）。19回目を数える“賞レース”は、2度目のクリスマスイブ開催となり、今年は敗者復活戦から決勝まで7時間10分ぶち抜きで届ける。過去最多エントリーとなった8540組の頂点を目指すため、各組が火花を散らすが、今回大きな改革が行われたのが敗者復活戦で、さらに敗者復活からの優勝が“8年周期”となっていることからも、どこが勝ち上がってくるのか期待が集まっている。  　今年は、24日午後3時からテレビ朝日系で敗者復活…,https://www.oricon.co.jp/news/2307816/full/
「魔界戦記ディスガイア7」が20％オフ。日本一ソフトウェア，「Steamウィンターセール」の対象タイトルを発表 - 4Gamer.net,"",https://www.4gamer.net/games/682/G068274/20231222004/
元乃木坂４６・秋元真夏を「隠し撮り」 舞台で共演の鈴木杏樹が披露 - スポーツ報知,女優の鈴木杏樹が２２日までに自身のＳＮＳを更新。元乃木坂４６の秋元真夏の隠し撮りを公開した。,https://hochi.news/articles/20231222-OHT1T51007.html
『ブギウギ』音楽担当の服部隆之さん、趣里の演技力を絶賛 「歌がうまくなったらこりゃ鬼に金棒、そこに賭けた」と明かす：中日スポーツ・東京中日スポーツ - 中日新聞,ＮＨＫの朝の情報番組「あさイチ」が２２日、放送され、プレミアムトークに作曲家の服部隆之さん（５８）が出演した。服部さんはＮＨＫ連続テレ...,https://www.chunichi.co.jp/article/826126
スーパー戦隊新作『爆上戦隊ブンブンジャー』2024年3月3日より放送開始。“クルマ×つくる”をテーマにさまざまなスーパーマシンで困難に立ち向かう - ファミ通.com,スーパー戦隊シリーズ第48作目となる新作『爆上戦隊ブンブンジャー』が発表された。テレビ朝日系24局で2024年3月3日に放送開始する。,https://www.famitsu.com/news/202312/22328961.html
